CASE_NAME,ABS_WF_D,STAT_CC_D,STAT_CC_A,STAT_CC_D_AN,STAT_CC_A_CA,STAT_N,STAT_N_D,STAT_N_A,ABS_F_D,CT_F_CONN_D,CT_F_CONN_D_AN,CT_F_CONN_A_CA,DISS_WF10_D,DISS_F10_D,STAT_E,CT_E_CONN,CT_F_E_CONN,CT_E_D_AN,CT_E_A_CA,CT_F_D_TORT1,CT_F_A_TORT1,INT_D,INT_R,INT_G,JSC,JSC_INT_D,INT_R_INT_D,INT_D_INT_G,PASS_TEST
t1_20x20_test00480,0.36342599987983704,1,1,1,1,400,206,194,0.5149999856948853,1,1,1,0.5022180080413818,0.8058249950408936,172,172,1,146,123,0.6747570037841797,0.747422993183136,2.632314371273921e+27,2.0819522938469108e+26,6.310572708330812e+27,5.382969856262207,0.9485443234443665,0.07909208536148071,0.4171276390552521,True
t1_40x40_test00580,0.35523900389671326,3,1,3,1,1600,857,743,0.5356249809265137,1,1,1,0.7382799983024597,1,645,645,1,590,525,0.46557798981666565,0.6581429839134216,4.25053212117744e+27,6.460394359792382e+26,6.200919358598579e+27,8.01509952545166,0.874659538269043,0.15199024975299835,0.6854680776596069,True
t1_80x80_test00490,0.3545350134372711,3,8,1,1,6400,3415,2985,0.533594012260437,0.9984369874000549,0.9994140267372131,0.9973199963569641,0.8332690000534058,1,2144,2106,0.9822760224342346,1910,1740,0.33870500326156616,0.5384619832038879,5.228652574089721e+27,9.841225807120078e+26,6.156297127406133e+27,9.362170219421387,0.8305391669273376,0.18821723759174347,0.849317729473114,True
t1_20x20_test00230,0.3970769941806793,1,1,1,1,400,216,184,0.5400000214576721,1,1,1,0.32762598991394043,0.5370370149612427,132,132,1,96,84,0.8796300292015076,0.9782609939575195,1.766968604765098e+27,9.69645954121214e+24,6.345360611322682e+27,3.7942299842834473,0.9960203766822815,0.0054876240901649,0.27846622467041016,True
t1_20x20_test00560,0.3743259906768799,1,1,1,1,400,213,187,0.5325000286102295,1,1,1,0.5061650276184082,0.8122069835662842,178,178,1,152,119,0.68544602394104,0.7700530290603638,2.7889177837267495e+27,3.07392300493159e+26,6.591245379648549e+27,5.415599822998047,0.9007084965705872,0.11021920293569565,0.4231245517730713,True
t1_40x40_test01180,0.3505539894104004,2,2,2,1,1600,849,751,0.5306249856948853,0.9993749856948853,1,0.9986680150032043,0.760981023311615,1,700,696,0.9942860007286072,631,560,0.45583000779151917,0.6586670279502869,4.286475528218087e+27,5.0442278560119e+26,6.167708135716177e+27,8.33178997039795,0.9015946984291077,0.11767774075269699,0.6949868202209473,True
t1_40x40_test01000,0.3514379858970642,3,1,3,1,1600,852,748,0.5325000286102295,1,1,1,0.7617120146751404,1,693,693,1,637,551,0.40962401032447815,0.6430479884147644,4.731410109832246e+27,1.2032060745731822e+27,6.215947699634501e+27,7.968510150909424,0.7811958193778992,0.2543017864227295,0.7611727714538574,True
t1_40x40_test01280,0.3499230146408081,3,1,3,1,1600,851,749,0.5318750143051147,1,1,1,0.7650420069694519,1,717,717,1,642,552,0.4371330142021179,0.6301739811897278,4.3761647784960835e+27,5.613505446173021e+26,6.133336981566421e+27,8.401280403137207,0.8904820680618286,0.12827454507350922,0.7135047316551208,True
t1_80x80_test00200,0.3506709933280945,3,16,2,1,6400,3385,3015,0.528905987739563,0.9975000023841858,0.9997050166130066,0.9950249791145325,0.8219410181045532,1,1996,1932,0.9679359793663025,1782,1671,0.33215099573135376,0.5086669921875,5.307413382882641e+27,1.350639462973017e+27,6.141315419739229e+27,8.830889701843262,0.7717825174331665,0.25448164343833923,0.8642144799232483,True
t1_40x40_test01300,0.3524619936943054,2,3,2,1,1600,855,745,0.534375011920929,0.9987499713897705,1,0.997314989566803,0.7704370021820068,1,713,705,0.9887800216674805,657,561,0.37193000316619873,0.6406459808349609,4.326473086884277e+27,4.441877836270788e+26,6.147623320768722e+27,8.531530380249023,0.9146739840507507,0.1026674136519432,0.703763484954834,True
t1_20x20_test00030,0.3870530128479004,1,2,1,1,400,204,196,0.5099999904632568,0.9975000023841858,1,0.9948980212211609,0.2090110033750534,0.37745100259780884,78,74,0.9487180113792419,56,55,0.9901959896087646,0.9846150279045105,9.058764360787436e+26,3.738200981195864e+24,6.09729647086497e+27,1.9367400407791138,0.9916895627975464,0.004126612097024918,0.1485701948404312,True
t1_80x80_test00230,0.3506709933280945,3,16,2,1,6400,3385,3015,0.528905987739563,0.9975000023841858,0.9997050166130066,0.9950249791145325,0.8219410181045532,1,1996,1932,0.9679359793663025,1782,1671,0.33215099573135376,0.5086669921875,5.307413382882641e+27,1.350639462973017e+27,6.141315419739229e+27,8.830889701843262,0.7717825174331665,0.25448164343833923,0.8642144799232483,True
t1_40x40_test01290,0.3499230146408081,3,1,3,1,1600,851,749,0.5318750143051147,1,1,1,0.7650420069694519,1,717,717,1,642,552,0.4371330142021179,0.6301739811897278,4.3761647784960835e+27,5.613505446173021e+26,6.133336981566421e+27,8.401280403137207,0.8904820680618286,0.12827454507350922,0.7135047316551208,True
t1_20x20_test00570,0.3613260090351105,1,2,1,1,400,206,194,0.5149999856948853,0.9975000023841858,1,0.9948449730873108,0.5471410155296326,0.8932039737701416,184,180,0.9782609939575195,160,124,0.6456310153007507,0.7409330010414124,2.612749311787487e+27,2.6618889661361434e+26,6.157549735115714e+27,5.098939895629883,0.9052229523658752,0.1018807664513588,0.4243163764476776,True
t1_40x40_test00300,0.3537519872188568,2,2,2,1,1600,852,748,0.5325000286102295,0.9993749856948853,1,0.9986630082130432,0.7362629771232605,1,622,618,0.993569016456604,581,507,0.46009400486946106,0.6492639780044556,4.260616144505798e+27,7.324214064057475e+26,6.137743539790749e+27,7.810999870300293,0.850369393825531,0.1719050407409668,0.6941665410995483,True
t1_20x20_test00770,0.3477819859981537,1,1,1,1,400,207,193,0.5174999833106995,1,1,1,0.6173220276832581,1,212,212,1,182,146,0.5893719792366028,0.7720209956169128,3.132780440951765e+27,4.9479797551980314e+26,5.67320198768762e+27,5.9699201583862305,0.8839179277420044,0.15794211626052856,0.5522066950798035,True
t1_80x80_test00730,0.3540610074996948,1,8,1,2,6400,3425,2975,0.5351560115814209,0.9990620017051697,1,0.9979829788208008,0.8383479714393616,1,2152,2128,0.9888479709625244,1950,1791,0.33167898654937744,0.5079150199890137,5.557890062317289e+27,1.4868059490275114e+27,6.165064200781581e+27,9.054400444030762,0.7556542158126831,0.26751264929771423,0.9015137553215027,True
t1_80x80_test00350,0.3503369987010956,3,8,2,2,6400,3389,3011,0.5295310020446777,0.9989060163497925,0.9997050166130066,0.9980069994926453,0.8251479864120483,1,2014,1986,0.986096978187561,1825,1714,0.35360100865364075,0.5094839930534363,5.553483504092961e+27,1.7741071995737185e+27,6.105923644133363e+27,8.528989791870117,0.7123697996139526,0.3194584250450134,0.9095239043235779,True
t1_80x80_test00080,0.3489530086517334,8,28,2,1,6400,3372,3028,0.5268750190734863,0.9948440194129944,0.9982209801673889,0.991083025932312,0.8207449913024902,1,2087,1955,0.9367510080337524,1824,1643,0.34967300295829773,0.4945020079612732,4.793055291603816e+27,5.3158557935623915e+26,6.13463563234921e+27,9.344369888305664,0.9042968153953552,0.11090745776891708,0.781310498714447,True
