CASE_NAME,INTEGRATION_D,INTEGRATION_R,INTEGRATION_G,JSC,JSC/INT_D,INT_R/INT_D,INT_D/INT_G,PASS TEST?
t1/20x20/test,3.67836949009e+27,3.3674167049300005e+26,5.8941782744e+27,7.45074,0.939544725335,0.0915464505014,0.62406824477,y
t1/20x20/test00000,7.69589357528e+26,1.74933786047e+24,6.063157211170001e+27,1.70469,1.02744778891,0.00227307958758,0.126928814596,y
t1/20x20/test00010,7.996372727740001e+26,1.73799219812e+24,6.05188576412e+27,1.7590500000000002,1.02037205628,0.00217347571991,0.132130265497,y
t1/20x20/test00020,8.990347373940001e+26,6.22605977114e+24,5.989637690229999e+27,1.98183,1.02250002527,0.00692527163742,0.150098350498,y
t1/20x20/test00030,9.05876459374e+26,3.73820092862e+24,6.09729624424e+27,1.9367400000000001,0.991689579977,0.00412661228584,0.148570189651,y
t1/20x20/test00040,8.338319673080001e+26,3.6393044172e+24,6.044278696970001e+27,1.8343,1.02038772786,0.00436455372049,0.137953924547,y
t1/20x20/test00050,8.338319673080001e+26,3.6393044172e+24,6.044278696970001e+27,1.8343,1.02038772786,0.00436455372049,0.137953924547,y
t1/20x20/test00060,8.338319673080001e+26,3.6393044172e+24,6.044278696970001e+27,1.8343,1.02038772786,0.00436455372049,0.137953924547,y
t1/20x20/test00070,1.05085602698e+27,1.43323175116e+24,6.07322265978e+27,2.30433,1.01712623491,0.00136387070515,0.173031039011,y
t1/20x20/test00080,1.05948355436e+27,4.03373548743e+24,6.10439308128e+27,2.29243,1.00363376822,0.00380726578443,0.173560834016,y
t1/20x20/test00090,1.12940363377e+27,2.2284578526700002e+24,6.18667928327e+27,2.4756,1.01672779203,0.00197312792799,0.182554094377,y
t1/20x20/test00100,1.29268654709e+27,3.40229789089e+24,5.95753957762e+27,2.78385,0.9989091779729999,0.00263195892101,0.216983291548,y
t1/20x20/test00110,1.3384773805700002e+27,3.61734596849e+24,5.98898830645e+27,2.94762,1.0214893901,0.00270258281518,0.223489730163,y
t1/20x20/test00120,1.56078464115e+27,5.222669060110001e+25,6.16807907639e+27,3.25454,0.9672083399799999,0.0334618173506,0.253042255426,y
t1/20x20/test00130,1.47781194773e+27,4.5723900570099997e+24,6.06246144284e+27,3.15732,0.9909981164499999,0.00309402699212,0.243764345828,y
t1/20x20/test00140,1.54848345695e+27,9.337953235089999e+24,6.18491667015e+27,3.27863,0.98210798087,0.00603038617584,0.250364481774,y
t1/20x20/test00150,1.5953550505799998e+27,6.03115186767e+24,6.142474801589999e+27,3.4657400000000003,1.00765538246,0.00378044490079,0.259725127429,y
t1/20x20/test00160,1.64770466026e+27,7.400238416619999e+24,6.250226124710001e+27,3.60471,1.01476239109,0.00449124081095,0.263623207764,y
t1/20x20/test00170,1.74231987717e+27,8.176391188789999e+24,6.39749708937e+27,3.76972,1.00358602303,0.00469281863436,0.272343989035,y
t1/20x20/test00180,1.67772474477e+27,8.94734889071e+24,6.232831916290001e+27,3.64624,1.00808683435,0.00533302552528,0.269175355166,y
t1/20x20/test00190,1.7313128220800001e+27,9.05036898914e+24,6.28204592999e+27,3.73226,0.999930341699,0.00522746026673,0.27559696974,y
t1/20x20/test00200,1.76696863012e+27,9.69645946686e+24,6.34536084865e+27,3.79423,0.996020359954,0.00548762400135,0.278466216856,y
t1/20x20/test00210,1.76696863012e+27,9.69645946686e+24,6.34536084865e+27,3.79423,0.996020359954,0.00548762400135,0.278466216856,y
t1/20x20/test00220,1.76696863012e+27,9.69645946686e+24,6.34536084865e+27,3.79423,0.996020359954,0.00548762400135,0.278466216856,y
t1/20x20/test00230,1.76696863012e+27,9.69645946686e+24,6.34536084865e+27,3.79423,0.996020359954,0.00548762400135,0.278466216856,y
t1/20x20/test00240,1.76696863012e+27,9.69645946686e+24,6.34536084865e+27,3.79423,0.996020359954,0.00548762400135,0.278466216856,y
t1/20x20/test00250,1.76696863012e+27,9.69645946686e+24,6.34536084865e+27,3.79423,0.996020359954,0.00548762400135,0.278466216856,y
t1/20x20/test00260,1.76696863012e+27,9.69645946686e+24,6.34536084865e+27,3.79423,0.996020359954,0.00548762400135,0.278466216856,y
t1/20x20/test00270,1.97331032659e+27,3.66738098883e+25,6.49230712142e+27,4.21285,0.990270882463,0.018584917630700002,0.30394593011,y
t1/20x20/test00280,2.04694580892e+27,8.177458033570001e+25,6.38381364541e+27,4.35029,0.985791945827,0.0399495580004,0.320646234775,y
t1/20x20/test00290,2.0169721089700003e+27,1.10298299078e+26,6.33937724095e+27,4.23757,0.974519187426,0.0546850888828,0.31816565449399997,y
t1/20x20/test00300,2.08596449726e+27,1.9455538084000004e+26,6.279680317640001e+27,4.19566,0.9329680615029999,0.0932687881566,0.332176861199,y
t1/20x20/test00310,2.08596449726e+27,1.9455538084000004e+26,6.279680317640001e+27,4.19566,0.9329680615029999,0.0932687881566,0.332176861199,y
t1/20x20/test00320,2.08596449726e+27,1.9455538084000004e+26,6.279680317640001e+27,4.19566,0.9329680615029999,0.0932687881566,0.332176861199,y
t1/20x20/test00330,2.08596449726e+27,1.9455538084000004e+26,6.279680317640001e+27,4.19566,0.9329680615029999,0.0932687881566,0.332176861199,y
t1/20x20/test00340,2.1275575284500002e+27,9.095315623710002e+25,6.142474801589999e+27,4.46748,0.973990468046,0.042750033783400004,0.346368132903,y
t1/20x20/test00350,2.1075843387200002e+27,7.131903761320001e+25,6.11325253144e+27,4.47281,0.984393844474,0.0338392330439,0.344756629612,y
t1/20x20/test00360,2.3725190060700003e+27,1.91669333779e+26,6.27314009527e+27,4.79835,0.938114015954,0.0807872700917,0.378202777241,y
t1/20x20/test00370,2.40648177783e+27,1.86880592238e+26,6.27318647983e+27,4.8842300000000005,0.941427610259,0.077657181502,0.38361393935099997,y
t1/20x20/test00380,2.39946843299e+27,1.1579486894e+26,6.19062197051e+27,4.98635,0.96392028576,0.0482585506548,0.387597311612,y
t1/20x20/test00390,2.3358612916200002e+27,1.2427721265900001e+26,6.28223146821e+27,4.86906,0.966877553989,0.053204020752500004,0.371820316304,y
t1/20x20/test00400,2.61410832649e+27,1.94541001628e+26,6.58326723534e+27,5.22098,0.926407049144,0.0744196403883,0.397083732594,y
t1/20x20/test00410,2.61410832649e+27,1.94541001628e+26,6.58326723534e+27,5.22098,0.926407049144,0.0744196403883,0.397083732594,y
t1/20x20/test00420,2.61410832649e+27,1.94541001628e+26,6.58326723534e+27,5.22098,0.926407049144,0.0744196403883,0.397083732594,y
t1/20x20/test00430,2.61410832649e+27,1.94541001628e+26,6.58326723534e+27,5.22098,0.926407049144,0.0744196403883,0.397083732594,y
t1/20x20/test00440,2.61410832649e+27,1.94541001628e+26,6.58326723534e+27,5.22098,0.926407049144,0.0744196403883,0.397083732594,y
t1/20x20/test00450,2.61410832649e+27,1.94541001628e+26,6.58326723534e+27,5.22098,0.926407049144,0.0744196403883,0.397083732594,y
t1/20x20/test00460,2.5839444498599996e+27,1.67926007357e+26,6.367207974430001e+27,5.27256,0.946480693459,0.06498824204050001,0.40582064543999996,y
t1/20x20/test00470,3.1021666226e+27,6.32907986957e+26,6.35468414437e+27,5.31358,0.794502932777,0.204021274116,0.488170072989,y
t1/20x20/test00480,2.63231426464e+27,2.0819522331800002e+26,6.310572431799999e+27,5.38297,0.948544311883,0.0790920848921,0.41712765253399997,y
t1/20x20/test00490,2.64934667353e+27,1.4340666731600001e+26,6.35598291193e+27,5.54587,0.970966612222,0.054129068394,0.416827217792,y
t1/20x20/test00500,2.78891780193e+27,3.07392306658e+26,6.59124537894e+27,5.4156,0.900708511975,0.110219206315,0.423124560166,y
t1/20x20/test00510,2.78891780193e+27,3.07392306658e+26,6.59124537894e+27,5.4156,0.900708511975,0.110219206315,0.423124560166,y
t1/20x20/test00520,2.78891780193e+27,3.07392306658e+26,6.59124537894e+27,5.4156,0.900708511975,0.110219206315,0.423124560166,y
t1/20x20/test00530,2.78891780193e+27,3.07392306658e+26,6.59124537894e+27,5.4156,0.900708511975,0.110219206315,0.423124560166,y
t1/20x20/test00540,2.78891780193e+27,3.07392306658e+26,6.59124537894e+27,5.4156,0.900708511975,0.110219206315,0.423124560166,y
t1/20x20/test00550,2.78891780193e+27,3.07392306658e+26,6.59124537894e+27,5.4156,0.900708511975,0.110219206315,0.423124560166,y
t1/20x20/test00560,2.78891780193e+27,3.07392306658e+26,6.59124537894e+27,5.4156,0.900708511975,0.110219206315,0.423124560166,y
t1/20x20/test00570,2.6127492590100003e+27,2.6618890574199998e+26,6.15754978222e+27,5.09894,0.90522297953,0.101880769759,0.424316384178,y
t1/20x20/test00580,2.75770099588e+27,2.49242308281e+26,6.170491073290001e+27,5.42276,0.912108724385,0.09038046859030001,0.446917589394,y
t1/20x20/test00590,2.75770099588e+27,2.49242308281e+26,6.170491073290001e+27,5.42276,0.912108724385,0.09038046859030001,0.446917589394,y
